"resonator_l [in]","resonator_w [in]","Freq [GHz]","dB(St(wguide_T2,wguide_T1)) []"
2.4,0.054,0.996,-0.4175832666523
2.4,0.054,0.998,-0.421237979529737
2.4,0.054,1,-0.424938363160336
2.4,0.054,1.002,-0.428685227160667
2.4,0.054,1.004,-0.432479400627157
2.4,0.054,1.006,-0.436321732732476
2.4,0.054,1.008,-0.440213093344071
2.4,0.054,1.01,-0.444154373665918
2.4,0.054,1.012,-0.448146486904479
2.4,0.054,1.014,-0.452190368959954
2.4,0.054,1.016,-0.456286979143998
2.4,0.054,1.018,-0.460437300925001
2.4,0.054,1.02,-0.464642342702314
2.4,0.054,1.022,-0.46890313861063
2.4,0.054,1.024,-0.473220749356011
2.4,0.054,1.026,-0.477596263084931
2.4,0.054,1.028,-0.482030796287985
2.4,0.054,1.03,-0.486525494739803
2.4,0.054,1.032,-0.491081534476933
2.4,0.054,1.034,-0.495700122815518
2.4,0.054,1.036,-0.500382499410631
2.4,0.054,1.038,-0.505129937359378
2.4,0.054,1.04,-0.509943744349694
2.4,0.054,1.042,-0.514825263857467
2.4,0.054,1.044,-0.519775876393879
2.4,0.054,1.046,-0.524797000805955
2.4,0.054,1.048,-0.529890095632573
2.4,0.054,1.05,-0.535056660519144
2.4,0.054,1.052,-0.540298237693519
2.4,0.054,1.054,-0.545616413506713
2.4,0.054,1.056,-0.551012820041411
2.4,0.054,1.058,-0.556489136792072
2.4,0.054,1.06,-0.562047092420243
2.4,0.054,1.062,-0.567688466589158
2.4,0.054,1.064,-0.573415091881687
2.4,0.054,1.066,-0.579228855806403
2.4,0.054,1.068,-0.585131702896257
2.4,0.054,1.07,-0.591125636905101
2.4,0.054,1.072,-0.597212723107406
2.4,0.054,1.074,-0.60339509070684
2.4,0.054,1.076,-0.60967493535996
2.4,0.054,1.078,-0.616054521821304
2.4,0.054,1.08,-0.622536186716986
2.4,0.054,1.082,-0.629122341454072
2.4,0.054,1.084,-0.635815475273589
2.4,0.054,1.086,-0.642618158455612
2.4,0.054,1.088,-0.649533045685289
2.4,0.054,1.09,-0.656562879589511
2.4,0.054,1.092,-0.663710494454202
2.4,0.054,1.094,-0.670978820133425
2.4,0.054,1.096,-0.678370886161729
2.4,0.054,1.098,-0.685889826082452
2.4,0.054,1.1,-0.693538882005153
2.4,0.054,1.102,-0.701321409406739
2.4,0.054,1.104,-0.709240882191416
2.4,0.054,1.106,-0.717300898026188
2.4,0.054,1.108,-0.725505183969493
2.4,0.054,1.11,-0.733857602411938
2.4,0.054,1.112,-0.742362157349745
2.4,0.054,1.114,-0.751023001012696
2.4,0.054,1.116,-0.75984444087039
2.4,0.054,1.118,-0.768830947042141
2.4,0.054,1.12,-0.77798716013813
2.4,0.054,1.122,-0.787317899561195
2.4,0.054,1.124,-0.796828172301411
2.4,0.054,1.126,-0.806523182257811
2.4,0.054,1.128,-0.816408340124492
2.4,0.054,1.13,-0.826489273881514
2.4,0.054,1.132,-0.836771839934042
2.4,0.054,1.134,-0.847262134947134
2.4,0.054,1.136,-0.857966508427074
2.4,0.054,1.138,-0.868891576105078
2.4,0.054,1.14,-0.880044234183325
2.4,0.054,1.142,-0.891431674508945
2.4,0.054,1.144,-0.903061400747036
2.4,0.054,1.146,-0.914941245630111
2.4,0.054,1.148,-0.927079389368399
2.4,0.054,1.15,-0.939484379312759
2.4,0.054,1.1502,-0.940739895385039
2.4,0.054,1.1504,-0.941998178091443
2.4,0.054,1.1506,-0.94325923662883
2.4,0.054,1.1508,-0.944523080235575
2.4,0.054,1.151,-0.945789718191776
2.4,0.054,1.1512,-0.94705915981954
2.4,0.054,1.1514,-0.948331414483157
2.4,0.054,1.1516,-0.949606491589394
2.4,0.054,1.1518,-0.950884400587733
2.4,0.054,1.152,-0.952165150970576
2.4,0.054,1.1522,-0.953448752273546
2.4,0.054,1.1524,-0.954735214075682
2.4,0.054,1.1526,-0.956024545999737
2.4,0.054,1.1528,-0.957316757712392
2.4,0.054,1.153,-0.95861185892452
2.4,0.054,1.1532,-0.959909859391454
2.4,0.054,1.1534,-0.96121076891324
2.4,0.054,1.1536,-0.962514597334865
2.4,0.054,1.1538,-0.963821354546568
2.4,0.054,1.154,-0.965131050484057
2.4,0.054,1.1542,-0.966443695128784
2.4,0.054,1.1544,-0.967759298508238
2.4,0.054,1.1546,-0.969077870696187
2.4,0.054,1.1548,-0.970399421812943
2.4,0.054,1.155,-0.971723962025646
2.4,0.054,1.1552,-0.973051501548534
2.4,0.054,1.1554,-0.974382050643229
2.4,0.054,1.1556,-0.975715619618961
2.4,0.054,1.1558,-0.977052218832953
2.4,0.054,1.156,-0.978391858690577
2.4,0.054,1.1562,-0.979734549645737
2.4,0.054,1.1564,-0.981080302201085
2.4,0.054,1.1566,-0.982429126908362
2.4,0.054,1.1568,-0.98378103436864
2.4,0.054,1.157,-0.985136035232645
2.4,0.054,1.1572,-0.986494140201046
2.4,0.054,1.1574,-0.987855360024723
2.4,0.054,1.1576,-0.989219705505098
2.4,0.054,1.1578,-0.990587187494427
2.4,0.054,1.158,-0.991957816896071
2.4,0.054,1.1582,-0.993331604664855
2.4,0.054,1.1584,-0.994708561807317
2.4,0.054,1.1586,-0.996088699382045
2.4,0.054,1.1588,-0.9974720285
2.4,0.054,1.159,-0.998858560324788
2.4,0.054,1.1592,-1.00024830607303
2.4,0.054,1.1594,-1.00164127701458
2.4,0.054,1.1596,-1.00303748447301
2.4,0.054,1.1598,-1.00443693982574
2.4,0.054,1.16,-1.00583965450451
2.4,0.054,1.1602,-1.00724563999562
2.4,0.054,1.1604,-1.00865490784031
2.4,0.054,1.1606,-1.01006746963505
2.4,0.054,1.1608,-1.01148333703189
2.4,0.054,1.161,-1.01290252173882
2.4,0.054,1.1612,-1.01432503552006
2.4,0.054,1.1614,-1.01575089019645
2.4,0.054,1.1616,-1.01718009764574
2.4,0.054,1.1618,-1.01861266980299
2.4,0.054,1.162,-1.02004861866087
2.4,0.054,1.1622,-1.02148795627004
2.4,0.054,1.1624,-1.02293069473951
2.4,0.054,1.1626,-1.02437684623695
2.4,0.054,1.1628,-1.0258264229891
2.4,0.054,1.163,-1.02727943728211
2.4,0.054,1.1632,-1.02873590146189
2.4,0.054,1.1634,-1.03019582793449
2.4,0.054,1.1636,-1.03165922916647
2.4,0.054,1.1638,-1.0331261176853
2.4,0.054,1.164,-1.03459650607964
2.4,0.054,1.1642,-1.03607040699981
2.4,0.054,1.1644,-1.03754783315818
2.4,0.054,1.1646,-1.03902879732945
2.4,0.054,1.1648,-1.04051331235112
2.4,0.054,1.165,-1.04200139112387
2.4,0.054,1.1652,-1.04349304661191
2.4,0.054,1.1654,-1.04498829184344
2.4,0.054,1.1656,-1.04648713991096
2.4,0.054,1.1658,-1.04798960397176
2.4,0.054,1.166,-1.04949569724824
2.4,0.054,1.1662,-1.0510054330284
2.4,0.054,1.1664,-1.05251882466617
2.4,0.054,1.1666,-1.05403588558188
2.4,0.054,1.1668,-1.05555662926264
2.4,0.054,1.167,-1.05708106926277
2.4,0.054,1.1672,-1.05860921920423
2.4,0.054,1.1674,-1.06014109277703
2.4,0.054,1.1676,-1.06167670373965
2.4,0.054,1.1678,-1.06321606591953
2.4,0.054,1.168,-1.0647591932134
2.4,0.054,1.1682,-1.06630609958783
2.4,0.054,1.1684,-1.06785679907957
2.4,0.054,1.1686,-1.06941130579607
2.4,0.054,1.1688,-1.0709696339159
2.4,0.054,1.169,-1.07253179768917
2.4,0.054,1.1692,-1.07409781143806
2.4,0.054,1.1694,-1.07566768955719
2.4,0.054,1.1696,-1.07724144651413
2.4,0.054,1.1698,-1.07881909684987
2.4,0.054,1.17,-1.08040065517927
2.4,0.054,1.1702,-1.08198613619153
2.4,0.054,1.1704,-1.0835755546507
2.4,0.054,1.1706,-1.08516892539608
2.4,0.054,1.1708,-1.08676626334279
2.4,0.054,1.171,-1.08836758348223
2.4,0.054,1.1712,-1.08997290088252
2.4,0.054,1.1714,-1.09158223068907
2.4,0.054,1.1716,-1.09319558812505
2.4,0.054,1.1718,-1.09481298849183
2.4,0.054,1.172,-1.09643444716959
2.4,0.054,1.1722,-1.09805997961778
2.4,0.054,1.1724,-1.09968960137559
2.4,0.054,1.1726,-1.10132332806253
2.4,0.054,1.1728,-1.10296117537897
2.4,0.054,1.173,-1.10460315910656
2.4,0.054,1.1732,-1.10624929510887
2.4,0.054,1.1734,-1.10789959933185
2.4,0.054,1.1736,-1.10955408780443
2.4,0.054,1.1738,-1.11121277663901
2.4,0.054,1.174,-1.11287568203201
2.4,0.054,1.1742,-1.11454282026446
2.4,0.054,1.1744,-1.11621420770253
2.4,0.054,1.1746,-1.11788986079807
2.4,0.054,1.1748,-1.1195697960892
2.4,0.054,1.175,-1.12125403020087
2.4,0.054,1.1752,-1.12294257984545
2.4,0.054,1.1754,-1.12463546182328
2.4,0.054,1.1756,-1.12633269302323
2.4,0.054,1.1758,-1.12803429042337
2.4,0.054,1.176,-1.12974027109147
2.4,0.054,1.1762,-1.13145065218567
2.4,0.054,1.1764,-1.13316545095499
2.4,0.054,1.1766,-1.13488468474003
2.4,0.054,1.1768,-1.13660837097354
2.4,0.054,1.177,-1.138336527181
2.4,0.054,1.1772,-1.14006917098132
2.4,0.054,1.1774,-1.14180632008736
2.4,0.054,1.1776,-1.14354799230668
2.4,0.054,1.1778,-1.14529420554205
2.4,0.054,1.178,-1.14704497779219
2.4,0.054,1.1782,-1.14880032715236
2.4,0.054,1.1784,-1.15056027181502
2.4,0.054,1.1786,-1.15232483007051
2.4,0.054,1.1788,-1.15409402030766
2.4,0.054,1.179,-1.15586786101453
2.4,0.054,1.1792,-1.15764637077898
2.4,0.054,1.1794,-1.15942956828945
2.4,0.054,1.1796,-1.16121747233558
2.4,0.054,1.1798,-1.1630101018089
2.4,0.054,1.18,-1.16480747570356
2.4,0.054,1.1802,-1.166609613117
2.4,0.054,1.1804,-1.16841653325063
2.4,0.054,1.1806,-1.1702282554106
2.4,0.054,1.1808,-1.17204479900847
2.4,0.054,1.181,-1.17386618356197
2.4,0.054,1.1812,-1.17569242869567
2.4,0.054,1.1814,-1.17752355414178
2.4,0.054,1.1816,-1.17935957974083
2.4,0.054,1.1818,-1.18120052544246
2.4,0.054,1.182,-1.18304641130617
2.4,0.054,1.1822,-1.18489725750202
2.4,0.054,1.1824,-1.18675308431148
2.4,0.054,1.1826,-1.18861391212814
2.4,0.054,1.1828,-1.19047976145851
2.4,0.054,1.183,-1.19235065292279
2.4,0.054,1.1832,-1.19422660725568
2.4,0.054,1.1834,-1.19610764530715
2.4,0.054,1.1836,-1.19799378804328
2.4,0.054,1.1838,-1.19988505654704
2.4,0.054,1.184,-1.20178147201911
2.4,0.054,1.1842,-1.20368305577869
2.4,0.054,1.1844,-1.20558982926439
2.4,0.054,1.1846,-1.20750181403499
2.4,0.054,1.1848,-1.20941903177033
2.4,0.054,1.185,-1.21134150427216
2.4,0.054,1.1852,-1.21326925346496
2.4,0.054,1.1854,-1.21520230139687
2.4,0.054,1.1856,-1.21714067024052
2.4,0.054,1.1858,-1.21908438229388
2.4,0.054,1.186,-1.22103345998123
2.4,0.054,1.1862,-1.22298792585399
2.4,0.054,1.1864,-1.22494780259164
2.4,0.054,1.1866,-1.22691311300263
2.4,0.054,1.1868,-1.22888388002533
2.4,0.054,1.187,-1.2308601267289
2.4,0.054,1.1872,-1.23284187631424
2.4,0.054,1.1874,-1.23482915211496
2.4,0.054,1.1876,-1.23682197759832
2.4,0.054,1.1878,-1.23882037636616
2.4,0.054,1.188,-1.24082437215591
2.4,0.054,1.1882,-1.24283398884149
2.4,0.054,1.1884,-1.24484925043441
2.4,0.054,1.1886,-1.24687018108464
2.4,0.054,1.1888,-1.24889680508169
2.4,0.054,1.189,-1.25092914685557
2.4,0.054,1.1892,-1.25296723097786
2.4,0.054,1.1894,-1.25501108216267
2.4,0.054,1.1896,-1.25706072526773
2.4,0.054,1.1898,-1.25911618529539
2.4,0.054,1.19,-1.26117748739373
2.4,0.054,1.1902,-1.26324465685754
2.4,0.054,1.1904,-1.26531771912946
2.4,0.054,1.1906,-1.26739669980104
2.4,0.054,1.1908,-1.26948162461382
2.4,0.054,1.191,-1.27157251946042
2.4,0.054,1.1912,-1.2736694103857
2.4,0.054,1.1914,-1.2757723235878
2.4,0.054,1.1916,-1.27788128541933
2.4,0.054,1.1918,-1.2799963223885
2.4,0.054,1.192,-1.28211746116022
2.4,0.054,1.1922,-1.28424472855733
2.4,0.054,1.1924,-1.2863781515617
2.4,0.054,1.1926,-1.28851775731546
2.4,0.054,1.1928,-1.29066357312218
2.4,0.054,1.193,-1.29281562644802
2.4,0.054,1.1932,-1.29497394492301
2.4,0.054,1.1934,-1.29713855634224
2.4,0.054,1.1936,-1.29930948866708
2.4,0.054,1.1938,-1.30148677002641
2.4,0.054,1.194,-1.30367042871795
2.4,0.054,1.1942,-1.30586049320944
2.4,0.054,1.1944,-1.30805699213993
2.4,0.054,1.1946,-1.31025995432112
2.4,0.054,1.1948,-1.31246940873861
2.4,0.054,1.195,-1.31468538455324
2.4,0.054,1.1952,-1.31690791110235
2.4,0.054,1.1954,-1.31913701790121
2.4,0.054,1.1956,-1.3213727346443
2.4,0.054,1.1958,-1.32361509120669
2.4,0.054,1.196,-1.32586411764539
2.4,0.054,1.1962,-1.32811984420077
2.4,0.054,1.1964,-1.33038230129793
2.4,0.054,1.1966,-1.3326515195481
2.4,0.054,1.1968,-1.33492752975008
2.4,0.054,1.197,-1.33721036289169
2.4,0.054,1.1972,-1.33950005015115
2.4,0.054,1.1974,-1.34179662289862
2.4,0.054,1.1976,-1.34410011269763
2.4,0.054,1.1978,-1.34641055130656
2.4,0.054,1.198,-1.34872797068018
2.4,0.054,1.1982,-1.35105240297111
2.4,0.054,1.1984,-1.35338388053139
2.4,0.054,1.1986,-1.35572243591401
2.4,0.054,1.1988,-1.35806810187448
2.4,0.054,1.199,-1.36042091137235
2.4,0.054,1.1992,-1.36278089757286
2.4,0.054,1.1994,-1.36514809384849
2.4,0.054,1.1996,-1.36752253378061
2.4,0.054,1.1998,-1.36990425116109
2.4,0.054,1.2,-1.37229327999393
2.4,0.054,1.2002,-1.37468965449697
2.4,0.054,1.2004,-1.37709340910352
2.4,0.054,1.2006,-1.37950457846402
2.4,0.054,1.2008,-1.38192319744788
2.4,0.054,1.201,-1.38434930114504
2.4,0.054,1.2012,-1.38678292486779
2.4,0.054,1.2014,-1.38922410415255
2.4,0.054,1.2016,-1.39167287476156
2.4,0.054,1.2018,-1.39412927268477
2.4,0.054,1.202,-1.39659333414155
2.4,0.054,1.2022,-1.39906509558255
2.4,0.054,1.2024,-1.40154459369158
2.4,0.054,1.2026,-1.40403186538736
2.4,0.054,1.2028,-1.40652694782553
2.4,0.054,1.203,-1.40902987840044
2.4,0.054,1.2032,-1.41154069474706
2.4,0.054,1.2034,-1.41405943474302
2.4,0.054,1.2036,-1.41658613651039
2.4,0.054,1.2038,-1.41912083841778
2.4,0.054,1.204,-1.42166357908225
2.4,0.054,1.2042,-1.42421439737135
2.4,0.054,1.2044,-1.42677333240511
2.4,0.054,1.2046,-1.42934042355813
2.4,0.054,1.2048,-1.43191571046155
2.4,0.054,1.205,-1.43449923300522
2.4,0.054,1.2052,-1.43709103133979
2.4,0.054,1.2054,-1.43969114587877
2.4,0.054,1.2056,-1.44229961730072
2.4,0.054,1.2058,-1.4449164865514
2.4,0.054,1.206,-1.44754179484596
2.4,0.054,1.2062,-1.4501755836711
2.4,0.054,1.2064,-1.45281789478738
2.4,0.054,1.2066,-1.45546877023138
2.4,0.054,1.2068,-1.45812825231803
2.4,0.054,1.207,-1.46079638364285
2.4,0.054,1.2072,-1.46347320708429
2.4,0.054,1.2074,-1.46615876580608
2.4,0.054,1.2076,-1.46885310325956
2.4,0.054,1.2078,-1.47155626318609
2.4,0.054,1.208,-1.4742682896194
2.4,0.054,1.2082,-1.47698922688809
2.4,0.054,1.2084,-1.47971911961803
2.4,0.054,1.2086,-1.48245801273487
2.4,0.054,1.2088,-1.48520595146648
2.4,0.054,1.209,-1.48796298134559
2.4,0.054,1.2092,-1.49072914821222
2.4,0.054,1.2094,-1.49350449821633
2.4,0.054,1.2096,-1.49628907782039
2.4,0.054,1.2098,-1.499082933802
2.4,0.054,1.21,-1.50188611325661
2.4,0.054,1.2102,-1.50469866360009
2.4,0.054,1.2104,-1.50752063257152
2.4,0.054,1.2106,-1.51035206823592
2.4,0.054,1.2108,-1.51319301898696
2.4,0.054,1.211,-1.51604353354979
2.4,0.054,1.2112,-1.51890366098388
2.4,0.054,1.2114,-1.52177345068577
2.4,0.054,1.2116,-1.52465295239204
2.4,0.054,1.2118,-1.52754221618222
2.4,0.054,1.212,-1.5304412924816
2.4,0.054,1.2122,-1.53335023206434
2.4,0.054,1.2124,-1.53626908605636
2.4,0.054,1.2126,-1.53919790593842
2.4,0.054,1.2128,-1.54213674354913
2.4,0.054,1.213,-1.54508565108809
2.4,0.054,1.2132,-1.54804468111895
2.4,0.054,1.2134,-1.55101388657257
2.4,0.054,1.2136,-1.55399332075023
2.4,0.054,1.2138,-1.5569830373268
2.4,0.054,1.214,-1.55998309035404
2.4,0.054,1.2142,-1.56299353426382
2.4,0.054,1.2144,-1.56601442387147
2.4,0.054,1.2146,-1.56904581437912
2.4,0.054,1.2148,-1.57208776137906
2.4,0.054,1.215,-1.57514032085718
2.4,0.054,1.2152,-1.57820354919642
2.4,0.054,1.2154,-1.58127750318024
2.4,0.054,1.2156,-1.58436223999619
2.4,0.054,1.2158,-1.58745781723939
2.4,0.054,1.216,-1.5905642929162
2.4,0.054,1.2162,-1.59368172544781
2.4,0.054,1.2164,-1.59681017367396
2.4,0.054,1.2166,-1.5999496968566
2.4,0.054,1.2168,-1.60310035468365
2.4,0.054,1.217,-1.60626220727285
2.4,0.054,1.2172,-1.60943531517549
2.4,0.054,1.2174,-1.61261973938035
2.4,0.054,1.2176,-1.61581554131762
2.4,0.054,1.2178,-1.61902278286277
2.4,0.054,1.218,-1.62224152634064
2.4,0.054,1.2182,-1.62547183452942
2.4,0.054,1.2184,-1.62871377066475
2.4,0.054,1.2186,-1.63196739844382
2.4,0.054,1.2188,-1.63523278202956
2.4,0.054,1.219,-1.63850998605485
2.4,0.054,1.2192,-1.64179907562675
2.4,0.054,1.2194,-1.64510011633085
2.4,0.054,1.2196,-1.64841317423554
2.4,0.054,1.2198,-1.6517383158965
2.4,0.054,1.22,-1.65507560836104
2.4,0.054,1.2202,-1.65842511917269
2.4,0.054,1.2204,-1.66178691637564
2.4,0.054,1.2206,-1.66516106851941
2.4,0.054,1.2208,-1.66854764466343
2.4,0.054,1.221,-1.67194671438176
2.4,0.054,1.2212,-1.67535834776778
2.4,0.054,1.2214,-1.67878261543906
2.4,0.054,1.2216,-1.68221958854211
2.4,0.054,1.2218,-1.68566933875734
2.4,0.054,1.222,-1.68913193830395
2.4,0.054,1.2222,-1.692607459945
2.4,0.054,1.2224,-1.6960959769924
2.4,0.054,1.2226,-1.69959756331205
2.4,0.054,1.2228,-1.70311229332903
2.4,0.054,1.223,-1.70664024203277
2.4,0.054,1.2232,-1.71018148498239
2.4,0.054,1.2234,-1.71373609831196
2.4,0.054,1.2236,-1.71730415873603
2.4,0.054,1.2238,-1.72088574355493
2.4,0.054,1.224,-1.72448093066041
2.4,0.054,1.2242,-1.72808979854118
2.4,0.054,1.2244,-1.73171242628854
2.4,0.054,1.2246,-1.7353488936021
2.4,0.054,1.2248,-1.73899928079553
2.4,0.054,1.225,-1.74266366880246
2.4,0.054,1.2252,-1.74634213918227
2.4,0.054,1.2254,-1.75003477412615
2.4,0.054,1.2256,-1.75374165646309
2.4,0.054,1.2258,-1.757462869666
2.4,0.054,1.226,-1.76119849785783
2.4,0.054,1.2262,-1.76494862581789
2.4,0.054,1.2264,-1.7687133389881
2.4,0.054,1.2266,-1.77249272347937
2.4,0.054,1.2268,-1.77628686607809
2.4,0.054,1.227,-1.78009585425262
2.4,0.054,1.2272,-1.78391977615994
2.4,0.054,1.2274,-1.78775872065223
2.4,0.054,1.2276,-1.79161277728375
2.4,0.054,1.2278,-1.79548203631757
2.4,0.054,1.228,-1.79936658873251
2.4,0.054,1.2282,-1.80326652623018
2.4,0.054,1.2284,-1.80718194124192
2.4,0.054,1.2286,-1.81111292693607
2.4,0.054,1.2288,-1.81505957722517
2.4,0.054,1.229,-1.81902198677325
2.4,0.054,1.2292,-1.82300025100323
2.4,0.054,1.2294,-1.82699446610443
2.4,0.054,1.2296,-1.83100472904014
2.4,0.054,1.2298,-1.83503113755526
2.4,0.054,1.23,-1.83907379018404
2.4,0.054,1.2302,-1.84313278625799
2.4,0.054,1.2304,-1.84720822591372
2.4,0.054,1.2306,-1.85130021010103
2.4,0.054,1.2308,-1.85540884059101
2.4,0.054,1.231,-1.85953421998421
2.4,0.054,1.2312,-1.86367645171904
2.4,0.054,1.2314,-1.86783564008013
2.4,0.054,1.2316,-1.87201189020678
2.4,0.054,1.2318,-1.87620530810169
2.4,0.054,1.232,-1.88041600063959
2.4,0.054,1.2322,-1.88464407557606
2.4,0.054,1.2324,-1.88888964155647
2.4,0.054,1.2326,-1.89315280812499
2.4,0.054,1.2328,-1.89743368573373
2.4,0.054,1.233,-1.90173238575199
2.4,0.054,1.2332,-1.9060490204756
2.4,0.054,1.2334,-1.91038370313639
2.4,0.054,1.2336,-1.91473654791174
2.4,0.054,1.2338,-1.91910766993436
2.4,0.054,1.234,-1.92349718530198
2.4,0.054,1.2342,-1.92790521108737
2.4,0.054,1.2344,-1.93233186534836
2.4,0.054,1.2346,-1.93677726713798
2.4,0.054,1.2348,-1.94124153651484
2.4,0.054,1.235,-1.94572479455344
2.4,0.054,1.2352,-1.9502271633548
2.4,0.054,1.2354,-1.95474876605708
2.4,0.054,1.2356,-1.95928972684644
2.4,0.054,1.2358,-1.96385017096793
2.4,0.054,1.236,-1.96843022473657
2.4,0.054,1.2362,-1.97303001554858
2.4,0.054,1.2364,-1.97764967189272
2.4,0.054,1.2366,-1.98228932336175
2.4,0.054,1.2368,-1.98694910066408
2.4,0.054,1.237,-1.99162913563554
2.4,0.054,1.2372,-1.99632956125129
2.4,0.054,1.2374,-2.0010505116379
2.4,0.054,1.2376,-2.00579212208554
2.4,0.054,1.2378,-2.01055452906034
2.4,0.054,1.238,-2.01533787021699
2.4,0.054,1.2382,-2.02014228441131
2.4,0.054,1.2384,-2.02496791171314
2.4,0.054,1.2386,-2.02981489341936
2.4,0.054,1.2388,-2.03468337206702
2.4,0.054,1.239,-2.03957349144665
2.4,0.054,1.2392,-2.04448539661578
2.4,0.054,1.2394,-2.04941923391264
2.4,0.054,1.2396,-2.05437515096992
2.4,0.054,1.2398,-2.05935329672884
2.4,0.054,1.24,-2.06435382145334
2.4,0.054,1.2402,-2.06937687674442
2.4,0.054,1.2404,-2.07442261555473
2.4,0.054,1.2406,-2.07949119220329
2.4,0.054,1.2408,-2.08458276239043
2.4,0.054,1.241,-2.0896974832129
2.4,0.054,1.2412,-2.09483551317923
2.4,0.054,1.2414,-2.09999701222518
2.4,0.054,1.2416,-2.10518214172946
2.4,0.054,1.2418,-2.11039106452973
2.4,0.054,1.242,-2.1156239449386
2.4,0.054,1.2422,-2.12088094876006
2.4,0.054,1.2424,-2.12616224330596
2.4,0.054,1.2426,-2.13146799741281
2.4,0.054,1.2428,-2.13679838145872
2.4,0.054,1.243,-2.14215356738063
2.4,0.054,1.2432,-2.1475337286917
2.4,0.054,1.2434,-2.15293904049897
2.4,0.054,1.2436,-2.1583696795213
2.4,0.054,1.2438,-2.1638258241074
2.4,0.054,1.244,-2.16930765425424
2.4,0.054,1.2442,-2.17481535162563
2.4,0.054,1.2444,-2.18034909957106
2.4,0.054,1.2446,-2.18590908314482
2.4,0.054,1.2448,-2.19149548912535
2.4,0.054,1.245,-2.19710850603479
2.4,0.054,1.2452,-2.2027483241589
2.4,0.054,1.2454,-2.2084151355672
2.4,0.054,1.2456,-2.21410913413333
2.4,0.054,1.2458,-2.21983051555573
2.4,0.054,1.246,-2.22557947737863
2.4,0.054,1.2462,-2.23135621901324
2.4,0.054,1.2464,-2.23716094175931
2.4,0.054,1.2466,-2.2429938488269
2.4,0.054,1.2468,-2.2488551453585
2.4,0.054,1.247,-2.25474503845147
2.4,0.054,1.2472,-2.2606637371807
2.4,0.054,1.2474,-2.26661145262165
2.4,0.054,1.2476,-2.27258839787369
2.4,0.054,1.2478,-2.27859478808372
2.4,0.054,1.248,-2.2846308404702
2.4,0.054,1.2482,-2.29069677434737
2.4,0.054,1.2484,-2.29679281114999
2.4,0.054,1.2486,-2.30291917445824
2.4,0.054,1.2488,-2.30907609002305
2.4,0.054,1.249,-2.31526378579179
2.4,0.054,1.2492,-2.32148249193429
2.4,0.054,1.2494,-2.32773244086924
2.4,0.054,1.2496,-2.3340138672909
2.4,0.054,1.2498,-2.34032700819629
2.4,0.054,1.25,-2.34667210291261
2.4,0.054,1.2502,-2.35304939312523
2.4,0.054,1.2504,-2.35945912290588
2.4,0.054,1.2506,-2.36590153874138
2.4,0.054,1.2508,-2.37237688956269
2.4,0.054,1.251,-2.37888542677441
2.4,0.054,1.2512,-2.38542740428472
2.4,0.054,1.2514,-2.39200307853564
2.4,0.054,1.2516,-2.39861270853385
2.4,0.054,1.2518,-2.40525655588181
2.4,0.054,1.252,-2.4119348848095
2.4,0.054,1.2522,-2.41864796220646
2.4,0.054,1.2524,-2.42539605765432
2.4,0.054,1.2526,-2.43217944345982
2.4,0.054,1.2528,-2.43899839468834
2.4,0.054,1.253,-2.44585318919781
2.4,0.054,1.2532,-2.45274410767324
